DFTU	DFRC	DFNC	DFRN
PEX10	NOP58	GRAMD1A	LOC642335
LOC100507423	LOC100131822	XLOC_007568	TUBGCP6
ATXN7	XLOC_003758	ZFPL1	ZNF44
XLOC_005888	ECHDC2	C17orf79	ARNTL2
ZMYND11	COPS5	RAD51C	NDUFAB1
RBM27	TAGAP	XLOC_l2_003992	XLOC_012421
C5orf43	BEND5	TAF10	SFT2D2
MAPK7	RBP1	SLC37A1	XLOC_013457
BRAF	LOC645752	NUDT8	LMX1B
ZNF526	DUXA	WIPI1	ATG16L1
GCFC1	LOC100287598	DUX4L9	PSG2
HIST2H2BA	ITGA10	XLOC_l2_009614	EFTUD2
UTP23	XLOC_008277	HNRNPH1	ORAI2
SPRYD4	XLOC_004095	KIAA0509	XLOC_l2_007074
TRAPPC8	XLOC_009371	BCKDK	WDR16
HMGB1	ZNF732	LOC100506823	KCTD19
SNORD116-11	LOC100507297	LILRA6	CDHR1
XLOC_007504	XLOC_l2_003647	XLOC_004341	LOC644285
TMEM134	SDC4	CLIP4	XLOC_l2_015098
XLOC_l2_009181	SMUG1	NDUFB1	SNORA19
DIS3L2	RFX8	WDR26	LOC100129461
BCL9	XLOC_011226	WASF2	XLOC_011433
TRIP6	CCDC130	MAP3K5	CEP170
XLOC_l2_012897	DMPK	PAK1IP1	IL28B
RAB11B	XLOC_011219	MAGEB2	BRMS1
ZNF667	XLOC_004677	PRPF19	XLOC_000480
FNTB	XLOC_005863	XLOC_005179	RPL31P11
XLOC_004139	XLOC_004353	CD97	TTTY19
XLOC_004065	NIPSNAP3B	TAF1B	BATF3
MLPH	PAIP2B	ETAA1	LOC100128822
XLOC_008554	XLOC_010932	RPS6KB1	DNASE1L1
LOC100129463	C14orf149	COMMD8	CCDC94
C9orf9	ADAM23	TRAF4	PRSS41
GPM6A	LOC100128822	PFDN6	RPS6KA3
SNORD48	FKSG83	KDM1B	LOC100505882
OR1S2	XLOC_013776	RBM8A	G3BP2
XLOC_l2_000416	C17orf101	N4BP1	LSM10
C11orf2	ZEB1-AS1	KLHL20	BRAF
LOC100507918	TNRC6A	MAST2	UBE4A
PEX11G	TXNDC12	LOC154761	SH3D19
TTC5	LOC100130000	FBXL3	KRTAP6-2
ELFN2	PCNP	CBX3	RNASE13
XLOC_000912	LOC100507427	XLOC_l2_007176	TFAP4
FCGR2C	XLOC_005469	KIF21B	REC8
XLOC_009808	WDR3	CA9	ERVFRD-1
FAM98C	LOC400743	SLC7A6	XLOC_007543
GFRA1	PKD1	XLOC_l2_010885	HIST1H2BA
NARG2	XLOC_011722	LOC100507347	EYA2
C15orf63	ND3	TOR1AIP2	OFD1
SGTA	LOC100132439	TOMM40	FAM150B
LOC100505994	RPA3	GSTM1	XLOC_l2_014876
CERS2	LENEP	ZSWIM6	ZNF578
XLOC_003913	TRAPPC2P1	XLOC_012895	XLOC_011974
XLOC_000019	XLOC_013579	MST4	XLOC_004095
FAM190A	ZNF323	UBXN6	SLC16A11
ADAMDEC1	GUSBP3	LARP1B	APPL1
AJAP1	D2HGDH	KRTAP9-6	ZNF772
ANXA11	MOV10	ACTBL2	ANKRD52
ABHD12	LOC100652867	RNF141	XLOC_007754
UBE2Q2P1	GNAI2	CADM4	BRE
LOC100507487	LOC100507639	IGFBP4	LOC100507376
DHRS3	XLOC_013290	SLC31A2	GDF2
FAM120B	XLOC_l2_007034	EXOC6	XLOC_003771
CDKN2C	HDGF	USF1	XLOC_013792
TEX264	XLOC_l2_007541	MFSD6	TNFSF13B
GLIS2	KIAA1430	LRFN4	KCNJ11
XLOC_003737	NIPSNAP3A	PITPNC1	BBIP1
PIK3AP1	TTC35	VSTM1	TPST2
ARL17A	LOC100128699	ZNF512	XLOC_000486
PRIC285	LOC440292	XLOC_001788	IL29
KIAA1654	TRAF2	XLOC_012840	XLOC_002718
ZNF273	KCNK5	SUMF2	POMZP3
SEC23B	XLOC_008774	SLC30A4	LOC100507364
ALKBH6	PRR14	MAPK3	LOC100505876
C17orf72	XLOC_010152	RTCD1	XLOC_004019
SNORD108	KDELR3	DPY30	XLOC_001188
XLOC_l2_008014	LOC345051	XLOC_009792	MLF1IP
Q49AT5	MTRNR2L8	NDUFA5	XLOC_005634
CHORDC1	BRF1	OSTC	XLOC_l2_015964
ACVR1C	ARF1	EIF1AX	UFL1
BSCL2	LOC100288346	CC2D1A	CSTF2T
ZNF833P	XLOC_l2_013527	PLA2G16	UBL5
LOC100506465	XLOC_007421	TMEM8A	ANTXRL
XLOC_012839	DCD	GPR180	XLOC_003062
ZSWIM3	ZNF616	PCGF5	XLOC_005985
XLOC_001393	XLOC_001428	SETX	XLOC_010725
MCRS1	XLOC_008212	TMTC1	XLOC_008259
FUT6	SUV420H1	MYBL2	C16orf79
SCNN1B	DNAJB9	MAP3K12	VN1R2
XLOC_011682	PICK1	PTX4	TRIM55
INO80B	NCF4	C3orf14	XLOC_l2_004072
C6orf163	LOC100653206	TATDN3	RARA
ATOH1	FAM64A	LRP12	L3MBTL1
LOC100506459	CES1	XLOC_l2_012374	XLOC_005549
BROX	MTRNR2L9	SRP72	XLOC_006752
RNF180	MYBBP1A	CHCHD7	XLOC_007210
XLOC_014418	TGM2	NXNL2	XLOC_010457
AZGP1	CEP41	MUT	DUS1L
GGNBP1	RNASE6	DIEXF	C11orf45
MORC2	XLOC_013809	FMO6P	XLOC_007348
RIMS1	GPS2	CEP41	ENTHD1
S100A10	XLOC_l2_004222	XLOC_001906	XLOC_001075
LOC401431	EEF1DP3	SUPT4H1	XLOC_008481
DVL2	ZFPL1	PPP1R15B	SKAP2
SDC4	MRPS18A	RNF215	WFDC10A
LTA	DNPEP	TRMT6	XLOC_l2_007435
LOC100131822	FBXL17	XPA	PSKH2
PPARG	COPZ2	TNFRSF6B	LOC554201
SFXN1	CUL4B	TCEAL5	XLOC_000545
XLOC_001188	OR6C75	DNAJC11	RCAN1
PSRC1	NDUFA4	FUT4	XLOC_012588
MUL1	CUL9	FMNL3	XLOC_013206
XLOC_011368	SOSTDC1	XLOC_008547	XLOC_002345
L3MBTL2	CENPV	MYL10	OBFC2A
CCDC37	XLOC_011797	GMEB2	XLOC_l2_010568
XLOC_000587	LOC100129447	CASC5	RPS26
DNM2	XLOC_l2_001086	KCND3	PLA2G2D
MTRNR2L10	ALKBH6	ARPC4	LOC100652755
POLA2	KIAA0087	KIF22	UBR5
XLOC_002452	TOB1	CNOT7	XLOC_011529
SPEN	SLC17A9	PCNP	SPRR2E
BATF3	AGA	SCARNA10	C10orf129
STIM1	NFATC2IP	FAM173B	UBE2H
CLTB	SNORD115-2	BAI2	XLOC_009069
CD9	HOXB6	NCOA7	FLJ32955
VGLL4	LOC100132240	IQCE	LOC100129216
DTNA	XLOC_005514	VRK3	H2AFB3
MGC34800	C20orf106	XLOC_l2_016079	LOC100506871
XLOC_007542	IL10	ZNF423	XLOC_l2_013460
RSL1D1	ZFP82	XLOC_009734	ARMCX5
OR4K17	PCDH19	OR6C74	STXBP5
PSG2	OAS1	PRNT	XLOC_006376
LOC100134868	TRPC4AP	GCK	HMGB3P1
ANXA6	XLOC_006578	LZIC	DARS
GSG2	CLIC5	EEF1A2	MASP2
SIN3A	CALML3	HRSP12	XLOC_012643
RNF151	RPRD1A	AP1M2	LOC100507241
SH3D21	LOC100652952	FOXC1	XLOC_008080
F8A1	USP25	CDRT3	CCNH
SNORA11C	LOC728407	MICALL1	SPRR2C
CDC34	ALG10	LOC100506885	SF3A2
POFUT2	C4orf6	SGOL1	ABCC6
LOC100132244	SDR16C6P	XLOC_000236	LOC285593
XLOC_008642	FGGY	LOC100128737	ARL1
PPP6R3	CANT1	XLOC_009725	XLOC_012953
SELPLG	KAT6A	FGFR1OP	PLA2G7
MSTO2P	XLOC_011184	TMEM200A	XLOC_008895
LOC100507332	MPHOSPH6	XLOC_001666	TNKS1BP1
FAF1	BBS10	ABHD8	LOC645769
ANP32A-IT1	EXOC2	LOC643783	FRMD5
LOC100507769	AHCY	XLOC_012626	MRPL33
GALE	ARID4A	MYH13	TSPAN4
LOC100129138	ARSH	WDR11	XLOC_006426
AATF	RNF126	DGAT1	XLOC_008993
CEP78	USP10	ACSF3	FEZF2
XLOC_005337	USH1G	SP3	YAP1
XLOC_007453	BSN	EPB49	DNAJC25
XLOC_006882	XLOC_003976	RLTPR	BCL2L11
PSAPL1	GSTO1	MORN4	SPANXB2
SYT11	ZDHHC21	ACN9	XLOC_014025
LOC100506069	XLOC_l2_002886	GPR84	LOC401497
SEC31B	NAG20	KIAA2026	XLOC_010839
ATP6V0B	LOC440356	MRPS18C	LOC284100
CHI3L2	LOC100506130	POLR2K	DDAH2
OR56A1	GATM	CRIPT	ADCYAP1R1
XLOC_l2_005245	SUGP2	ATP5J	LOC100506207
ZNF792	TMEM175	XLOC_l2_006939	XLOC_l2_000297
CEBPD	XLOC_001048	LPPR2	TMEM187
GUK1	XLOC_007500	SNORD45C	KIR2DS2
XLOC_014083	LOC100505771	CPEB3	XLOC_l2_001771
ORAI2	KRTAP2-1	KRT6B	ZMYND19
GCFC1-AS1	XLOC_011568	NPPA	XLOC_013546
ZC3H14	PEBP4	MRPS22	XLOC_012769
CEP350	LOC100506757	LOC285178	LOC728147
KCNA1	PROCR	MGC2752	SNORA45
DOK2	ZNF707	LOC100506301	XLOC_004649
XLOC_009792	SERPINB13	KDM3A	PNPLA8
LOC285173	XLOC_002735	AGPAT6	DMRTB1
GHRLOS	XLOC_006680	XLOC_l2_006862	DTNB
TEC	ABCB6	MED10	KCNV2
TTC38	PYDC1	LRRC61	XLOC_013805
ARHGEF40	MOCOS	SLC25A5-AS1	DAB2IP
EIF4EBP1	XLOC_008013	ZNF295	ARSB
FRMD3	DKFZP586K1520	ATAD1	PSMG1
CARD8	LOC283674	XLOC_004171	LOC100653004
FBXO16	GIMAP8	WDR3	XLOC_009457
ZNF343	SNCA	XLOC_005365	HSPB11
LOC100506075	CMBL	LUC7L2	ALDH1A3
XLOC_002498	SLC16A10	FUK	XLOC_014334
NT5DC3	HMGCL	FAM48A	LAMA3
CD180	TMEM182	ZNF92	MAP1LC3C
XLOC_005471	XLOC_010324	H2BFXP	OR4A15
RPL23AP32	IFT81	POGK	FASTK
RENBP	XLOC_005590	MRPL38	LOC100506201
BAGE	LOC100130442	LIPA	ZNHIT1
XLOC_012586	XLOC_013681	AKT1	FKSG83
TRH	LOC100131180	LINC00346	XLOC_012449
XLOC_013988	SIRT5	GPR88	XLOC_000283
RNF24	XLOC_006028	ADAL	SLIT2
GVINP1	NDP	USP38	XLOC_000429
UNC45A	XLOC_l2_007237	NET1	XLOC_001959
ADAM18	SPG21	FAM134B	LOC647979
SSU72	C21orf91	SNORD11B	LOC148189
CHST10	MTMR9LP	ZNF569	MRPS14
RBM6	RLF	XLOC_011872	IKBKE
XLOC_007254	VASH2	LOC100507616	XLOC_001317
XLOC_009869	XLOC_l2_009888	PGF	NUP153
FBXL20	ZCCHC10	ZNF512B	RAMP1
WBP1	XLOC_004746	COX7A2	HSPB2
CHD5	TRIM61	SPOCK2	C20orf123
LOC728606	HTR1F	XLOC_010776	HTR1E
EIF3I	RHCE	GABPB1	ND1
IPO9	C6orf223	YWHAG	XLOC_006310
LOC339593	ORAOV1	FNDC3A	NBPF7
LOC653550	XLOC_l2_015288	TTYH3	ACOXL
WDR81	PTPRJ	CD79B	EZR
LOC100130547	FAT3	XLOC_009231	LOC100507377
DCAF7	CSTA	ANAPC4	LOC284219
AGAP7	XLOC_010574	OR9A2	XLOC_002113
CDC42EP4	ANKLE1	XLOC_012359	NUP107
NELF	IL29	ZNF555	LOC646278
PTBP2	XLOC_009689	XLOC_005586	LACC1
DMRTB1	THOC5	DRP2	PRDX6
MPI	CERS5	UFM1	XLOC_005410
XLOC_l2_010063	FAM122A	PGM2	XLOC_008793
XLOC_003613	BNIPL	LOC388210	XLOC_l2_015351
FRMPD3	FBXO41	XLOC_006411	MDFI
XLOC_l2_001288	POU5F1	LOC100129722	BCL2L2
PDE9A	XLOC_l2_001853	DERL3	XLOC_010084
SLC25A42	C18orf32	SNORA18	LAPTM4B
C9orf37	CASKIN2	PTPN7	XLOC_008567
MCM5	XLOC_003289	RFPL3-AS1	METTL6
HIRIP3	ZNF83	ARMCX2	XLOC_l2_001192
FCGR2B	ZSWIM7	PGBD4	LRAT
MT1X	C17orf59	CYP24A1	SARDH
RRS1	CHD8	ARL5B	ACRV1
PI4KB	IGSF3	SRP9	MUM1
CLIC5	CDH15	ADAR	XLOC_005990
XLOC_012255	ANAPC4	DOCK4	RAB1A
OBFC2B	KANK2	SNORA33	LOC100129250
EFEMP1	LOC100507241	C6orf192	XLOC_008348
ASB1	ARHGAP19	CTSE	SEC61G
NRM	C1orf227	XLOC_005448	PREPL
LOC100652967	FLJ10661	SNTN	HIST1H3I
LOC100509100	GLB1	SERTAD3	LOC100129406
IMPAD1	GPR124	XLOC_013866	IFT52
ACSM1	PPAP2B	LOC100132249	XLOC_007051
SEMA4F	ATF1	MIB1	FCHSD1
KIAA2013	XLOC_l2_000720	OR8B8	TMEM52
XLOC_001345	NUDT21	XLOC_011119	C2CD4B
LINC00310	LCNL1	MARCH6	GNAI2
MRE11A	SPINK2	DEF6	LOC100507492
CSRP1	LOC100128531	ITGA4	C3orf23
PSME4	CARS2	KRT85	LOC100653275
LOC100505679	SSTR2	C14orf101	ABHD11-AS1
BANF1	PPM1A	WNT2B	DISP2
LRWD1	HIST2H2AC	TTC18	LOC100507194
XLOC_001631	LOC644717	FAM19A5	LOC100505573
RET	THAP9	CDC73	GAK
OBSL1	ADPRHL2	PRKAB2	LOC100132529
SSB	SNAR-G1	ZMYND15	CETN1
UBC	PRKG2	EXT1	ABHD1
XLOC_008636	OR52N5	COX11	ATP8B5P
CLN6	XLOC_l2_000267	CAPG	FUT11
C17orf48	LOC100506992	LPAR5	TSPYL1
XLOC_013300	NANP	DNAJC19	XLOC_012442
RUVBL2	LOC100652887	ARRB1	TCF24
TRIP10	MIPEP	HCLS1	LOC729770
DFNB31	XLOC_006892	RIF1	KRTAP2-1
CHCHD2	LOC286238	XLOC_l2_001945	FER1L4
RBM23	LINC00340	RCOR1	ADCY3
ZFP36L2	CACNA1B	LOC100129129	RBFA
PPWD1	XLOC_009097	SPNS1	WASH5P
MDH1B	VPS4B	GPHN	POLR1E
SLC25A16	NRXN2	SLC27A4	EIF1
FAAH	CRTAM	SLC25A46	XLOC_011787
LOC100130027	LOC728065	FAM113B	SFTA2
LOC100509575	XLOC_l2_007359	LOC100129995	NUP188
PHF14	INPP5E	PPID	XAGE3
DCTN2	XLOC_003052	CHMP7	NFIL3
FOXK2	XLOC_l2_013425	WDR1	NHSL2
LOC100508118	HYAL1	ZNF17	ODF4
GABPB2	PAR1	XLOC_000090	AZGP1P1
RBM42	XLOC_003826	SLC35B4	NUDT18
MRPS18A	ACCS	LARS	STX10
ZNF586	XLOC_010422	RRAS2	GRIPAP1
SPZ1	LOC100506392	FOXK2	XLOC_008433
FGFR1OP	XLOC_012572	XLOC_011817	LOC100287704
LOC284757	MYL5	AZIN1	SLC22A7
SLC8A1	AVPI1	XKR8	WDR91
ARRDC1	ANXA1	LIN37	XLOC_005024
DAPK1	MBNL1	LOC100507389	CD163
SEMA6A	GVINP1	CCNF	C9orf103
PIAS3	LANCL1	PTPN14	COX7C
TDRKH	LOC283585	XLOC_009207	TOMM5
ERCC1	IFT46	CSGALNACT1	XLOC_l2_015216
PIN1P1	XLOC_002346	RNF128	LOC100131774
FAM165B	PLP2	LOC100506844	KLHDC8A
AFG3L2	JAM2	POLR1C	XLOC_008662
TMEM158	TTTY18	METTL10	APITD1
RNASET2	NDUFA12	STRA13	RNFT1
XLOC_012743	DHX32	XLOC_001241	LOC100506869
ZNF625	INO80	FAM81A	RNF11
NUB1	CRHR1	XLOC_008180	HTR6
FAR2	KBTBD5	NTRK3	FKBP4
LUZP1	MPG	CEACAM4	METTL12
IMPA2	UBR4	SGSM3	GMFG
AVPR2	XLOC_010323	NAA50	XLOC_001767
XLOC_011408	SNORD91B	NOB1	LOC100507207
XLOC_001110	XLOC_l2_013859	C1orf220	NUFIP2
SSTR5	WNT2B	MAN1A1	LOC646999
LOC100505976	XLOC_l2_010141	FAM204A	LOC100507114
EFNA4	TXK	SYNCRIP	INMT
PPP2R3B	CENPJ	BCAS2	MOBP
HMG20A	ABCC6	LOC404266	LOC100506880
XLOC_004250	XLOC_009378	AMHR2	AGPAT5
XLOC_008701	RFPL3-AS1	LOC100507239	XLOC_009911
XLOC_l2_002855	DET1	FBF1	TARDBP
GPX4	C10orf57	COX6B2	KDM4C
ZNF195	TMEM229B	SDCBP2	XLOC_007307
PLCD4	DIAPH3	ACOT6	WDR20
CDK16	SHKBP1	LOC729558	XLOC_l2_011283
XLOC_002055	FGD6	CUEDC2	C16orf13
XLOC_007842	THAP10	CWF19L1	CBFA2T2
NGFR	RIMKLA	WFS1	XLOC_004810
MLL2	RNF40	G6PC3	EFR3A
ZNF818P	OPA3	FLOT2	XLOC_007236
PGBD4	LOC100652758	ERCC2	XLOC_l2_006939
LOC731932	BTC	TBC1D3	XLOC_006124
XLOC_002588	SRSF5	XLOC_003550	RGR
CTNS	EGFLAM	XLOC_000852	ATP12A
ARCN1	XLOC_009603	SMC6	PCDH11X
CECR5-AS1	ZNF22	NAT6	XLOC_004992
BSDC1	ANP32E	DNAH7	MIB2
ETS1	GNB5	SNORD47	XLOC_000980
ALDH1B1	ZNF273	XLOC_005462	BARX2
PRDX5	XLOC_010411	XLOC_004842	ALG10
LOC645177	KIAA0748	ACD	LOC100507547
PRPS2	CNIH	PTAR1	XLOC_002186
LOC340335	XLOC_l2_015520	ABI3	C18orf57
EIF4B	FBXO6	ATP6V0B	SLC1A1
MDM4	TMEM50B	TNKS1BP1	WDR7
DHDH	LOC100507317	ISY1-RAB43	NAT1
ABHD10	XLOC_l2_010422	CCDC138	NES
S100A7	NDUFB8	LRIG1	SSPO
TAF10	SCAPER	CCND3	XLOC_009508
MYO1C	ABCD3	KBTBD6	COL12A1
MEPCE	ZNF497	KRTAP25-1	PSENEN
GEMIN4	LIMS3L	XLOC_l2_005295	ZDHHC8
XLOC_003148	FAM96B	TNFAIP8	XLOC_003240
XLOC_006978	ZNF234	PHOSPHO2	FBXO30
CALM3	TP53INP2	LOC100505946	CDC14A
C2orf28	XLOC_000572	WNT10A	SNORD59A
XLOC_l2_002886	PPP1R2	PDE8A	XLOC_l2_014369
ZNF862	ND4L	RNF125	ASMTL-AS1
NPC1	MAP2K2	VDR	CORO2A
EPS15L1	XLOC_l2_012897	IST1	LAT2
DDX26B	N4BP3	SSU72	LOC729040
LOC219731	COX1	CIB2	GPR37L1
CEACAM1	Q59GX9	LOC100505794	PHGR1
SNORD116-4	TADA2B	XLOC_007447	OR4F29
KIF17	SRP9	SENP7	OR2T8
NR1D1	TATDN1	SLC22A15	LOC100147773
SMR3A	PARD6A	XLOC_004584	XLOC_004775
DFNA5	CAPN1	NOD1	LOC399939
NUP93	LOC100507389	TESK1	LOC100131195
SNX10	GSX1	SCARA5	MIER3
LATS1	XLOC_l2_013040	XLOC_008501	LOC100505471
EIF2AK2	LOC284408	HIRA	XLOC_009602
PITRM1	LOC100507546	ARMC8	XLOC_014010
CABP5	XLOC_011474	MAP4K2	LOC145837
ORC2	SNORD1B	LOC100508631	IER3IP1
PISD	MED27	LOC440600	TEX264
SQLE	KREMEN1	LOC440905	C17orf13
TMEM40	XLOC_004924	LOC100507353	MCHR1
SNORD59B	FKBP2	IGIP	ARID5A
ZNF701	SGPL1	XLOC_007460	XLOC_001765
LOC100505727	XLOC_l2_002855	POFUT2	XLOC_009322
SYNC	RCHY1	C6orf211	ZNF502
ZDHHC14	SCN4B	IQCB1	RBM45
XLOC_006721	TMEM8A	PSMC4	LOC100129726
XLOC_006314	RNU105B	TUBB4A	XLOC_l2_006101
LOC100128788	GALK1	SLX4	XLOC_001732
XLOC_013027	GRID2IP	POTEF	LYPLA2
XLOC_004272	FKBP1B	XLOC_003737	LOC100506865
XLOC_l2_007013	XLOC_004443	ANKRD33B	FOXQ1
USP22	XLOC_l2_011969	BICD1	XLOC_l2_015593
HMGCL	TTC38	XLOC_000167	MFSD7
XLOC_001417	ZNF620	DYRK2	CTSL3
PPP2R5B	TNFRSF6B	DNAJC3-AS1	LRP1B
XLOC_l2_005020	LOC100652993	XLOC_013911	LOC221946
XLOC_003569	FLJ33996	RNF187	AGAP2
SNORA16B	CYMP	HERPUD1	XLOC_007437
C1orf52	CALHM2	PDHB	XLOC_l2_014050
LINC00112	LOC100129917	RANBP2	RASL10B
SRR	ZNF746	SLIRP	LOC442421
KAT5	UBE3B	RPS27A	LOC100508046
CDC14C	XLOC_000605	IDS	CYP3A43
RNF182	XLOC_l2_003050	LOC100506538	XLOC_l2_013852
AKAP14	XLOC_004877	SERINC2	ANKAR
FAM164A	XLOC_012622	NAGLU	PRMT7
LOC100130157	FAM26F	MSH3	THAP1
SNAPC4	XLOC_l2_007783	HLA-E	RBBP6
SNX27	C12orf40	C8orf22	MORN2
GNGT2	OR9H1P	FNDC3B	NDUFS6
OR6C74	OXER1	MAST3	OR1D2
XLOC_l2_013857	SNORD116-4	C11orf9	RABEP2
ATP13A2	PNMA6A	LOC100134240	ZNF830
ARL2BPP2	C19orf28	PACSIN2	XLOC_000826
EGLN1	P2RY10	C3orf33	XLOC_002137
KIFC1	XLOC_011674	PDE6G	PPM1B
MAB21L3	LOC100130547	XLOC_005126	LMAN1L
OPTC	CKS1B	TPMT	XLOC_012991
XLOC_013296	POU2F1	SCARNA14	XLOC_008440
DHX38	GTPBP1	RBM17	SLC39A8
XLOC_000844	NTHL1	GALNT1	XLOC_012850
LOC100130442	GSC2	XLOC_l2_007656	PILRA
XCL1	SUN2	EAF1	C1orf212
LOC100128071	PUS10	LOC100507411	XLOC_001262
ADRM1	GAL3ST1	ARL8B	Q39472
PFAS	SERINC2	METTL7A	HNF4A
SLC35E4	MST1	XLOC_004282	XLOC_010949
BNIP1	CCDC154	ZADH2	UTRN
LOC100506906	NKX2-3	EIF3J	MYOG
XLOC_001756	FLJ13197	ZNF135	CEACAM7
AKR7A3	XLOC_l2_005622	C6orf27	SQLE
SLC37A3	GRM5	LOC100652802	AHSA1
USP34	FLJ38717	WRN	XLOC_l2_007986
CDKAL1	NBPF3	MGC16275	EGFR
CEP63	LIX1L	ELK3	HSPB7
DDOST	XLOC_013558	XLOC_012751	C1orf195
XLOC_004156	XLOC_l2_008609	MRAP2	LINC00051
NFATC2IP	KCNQ2	IGF2BP3	XLOC_012043
CNTN2	RBM5	DBI	ATP6AP2
XLOC_010739	OR10G2	HMGB1	XLOC_009327
LAPTM5	TTC24	CDC20	LOC100505913
LOC100131000	ARHGAP11A	RUSC1	XLOC_l2_009405
HINT2	COL1A1	RCL1	UTP23
LDLRAP1	ARFIP1	XLOC_l2_015722	KRT16
Q8RQM5	RBM38	ATP5D	XLOC_l2_009278
ENPP3	XLOC_005737	BTF3L4	XLOC_008828
MICALL2	CCR5	SRI	C2orf85
TH1L	HAS3	LOC644962	MSLN
HPX-2	C4orf52	XLOC_l2_008270	MRPL17
DPH5	MS4A18	FYTTD1	NTSR1
LOC100509121	SLC35D1	SLC7A6OS	TMEM170A
GTPBP3	IQGAP1	ICT1	A2MP1
SUZ12P	XLOC_003769	NKAPL	DEGS1
LOC100130276	PDCD10	C7orf73	GPR116
TCTN1	C7orf50	EPAS1	XLOC_000115
RUVBL1	TSNAXIP1	ALS2CR8	NDUFA10
COMMD5	XLOC_l2_015438	PATL1	ALPI
SLC12A4	C21orf88	XLOC_l2_013301	EPS15L1
ASGR2	SAFB2	LOC100132741	NTN5
GSDMD	PLEKHA2	HMGB2	XLOC_004966
SMCR8	XLOC_006532	HAPLN3	APLNR
XLOC_008047	C1GALT1C1	SCRN3	XLOC_002293
SERPINB1	RFX1	LOC100506494	DBR1
XLOC_006142	C8orf66	LOC100509541	GGNBP2
USF1	XLOC_l2_001332	SEPX1	LOC440104
TARP	LOC100132831	XLOC_l2_010489	NTN4
PPAN	LOC285740	IER3IP1	XLOC_004299
MGC45922	LINC00106	XLOC_004847	RNASE10
LOC400958	TACR1	ILF3	C12orf11
CAMKK2	OR6Y1	XLOC_003225	COL21A1
XLOC_009448	MSC	HS3ST1	LOC285441
ADM	CCZ1	R3HDML	GAB1
XLOC_010543	AVL9	GALNS	SCMH1
IMP4	FLJ35424	PRLHR	XLOC_009112
HAX1	XLOC_006398	PHF21B	MRPL39
C16orf74	HOOK3	VPS28	XLOC_011635
MSH3	CARS	TIMM22	XLOC_010545
ELL	TIMM44	DMXL1	XLOC_008926
LOC100128366	ARL15	SNORA41	XLOC_003524
OTOP2	LAMC1	MNT	C9orf29
FAM177A1	MCM8	XLOC_011150	HIST1H4B
KLHL38	ST7L	MAMDC4	XLOC_006323
DHRS1	KDM4D	UHRF1BP1	LOC100506478
GHRLOS2	XLOC_002291	FAM122B	XLOC_l2_004940
ECM2	LOC100132336	BIN1	FRMD1
C10orf91	PPM1K	NIPSNAP3A	XLOC_000021
XLOC_009986	PDK1	LOC728705	VN1R5
MYBL2	XLOC_004373	ZBED3	XLOC_012165
Q37NU8	XLOC_007098	TUBA3D	BARX1
BATF2	GOLT1B	MTMR14	VANGL1
MB21D1	LOC729860	ZRANB2	NDUFA4
C4orf43	ZFAND2B	MT4	XLOC_005117
GCHFR	EGFR	NCBP2	SMARCA1
LOC100287633	AGER	THAP1	DKFZp434L192
LOC100190986	MAPK3	RCHY1	STRAP
SLC36A1	OR4K2	NGDN	LOC100216001
CDC25B	MGC57346	C11orf65	TMEM114
UGGT2	XLOC_l2_007405	CD109	TBCD
GYPE	TNS3	C18orf21	XLOC_004375
LOC100653329	ARHGAP18	CDC25C	SNAR-B1
XLOC_001500	LOC442459	XLOC_003677	XLOC_000671
MACC1	LOC283038	YTHDF1	EPM2A
XLOC_001217	OTOS	FLJ33996	FAM120A
ANKRD11	LOC157860	TUBGCP6	LOC100507570
EPHX1	LOXL1	SNORA26	COL1A2
HHLA2	XLOC_013988	XLOC_007483	SH3BGRL2
KRT16P3	PPDPF	PEMT	MRC1
ZNF141	SNORD114-11	NUDCD3	DDX56
TMEM191B	DPH5	TMEM123	CAPN9
XLOC_l2_011911	NQO2	XLOC_013220	SNORD127
FAM18B2-CDRT4	P2RX5	USP6	ATOH1
XLOC_012667	XLOC_006069	SIX5	XLOC_000982
XLOC_l2_001800	XLOC_l2_011118	C12orf65	ARMC4
NCAPH	TMEM17	XLOC_007504	XLOC_l2_010493
STS	C19orf2	C17orf65	RPP14
KLK6	LOC91450	DCLRE1A	FOSB
GDPD3	XLOC_013779	LOC283143	MS4A1
XLOC_007286	EVX2	PLEKHA2	XLOC_011947
HIGD2A	PPP1R16B	XLOC_l2_012035	XLOC_004905
CBX4	XLOC_007487	RACGAP1	RPRML
TUSC2	LOC440792	XLOC_006928	GPR182
KIAA1468	DENND4B	IMMP1L	UNC93A
XLOC_007054	NCKIPSD	C4orf41	DLX6-AS1
CEMP1	XLOC_010389	LPPR1	XLOC_007822
XLOC_l2_006944	PRRT3	XLOC_010261	CXorf68
XLOC_002071	TCIRG1	MAN2A1	CCDC13
XLOC_l2_010239	KCNJ14	SP100	XLOC_005115
TMEM69	C14orf128	DERA	RNF150
ABCC3	XLOC_011972	XLOC_l2_006640	XLOC_011216
TUBB3	YBEY	ZNF527	RAET1E
XLOC_005005	XLOC_l2_013311	HSD17B12	LOC100507317
LOC642776	B9D1	TCEA1	XLOC_004258
SIRT6	LOC100507448	LOC100507373	MNT
GLRA1	XLOC_l2_013131	DTWD2	XLOC_006357
GNAL	ABHD12B	OR3A4P	MRPL4
